District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,qn_per_acre
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6250,6920,6800,08-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6575,6500,01-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6625,6550,02-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6625,6550,03-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6850,6750,14-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6920,6800,06-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6920,6800,12-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6920,6800,13-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6920,6800,16-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6920,6850,07-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6950,6750,19-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6950,6825,24-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6950,6850,17-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6950,6850,23-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,6970,6900,05-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6300,7000,6900,26-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,6920,6800,10-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,6920,6850,15-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,6950,6800,20-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,6950,6850,21-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,6950,6850,22-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,6970,6900,31-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,7000,6800,01-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,7050,6900,27-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,7100,6950,04-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,7100,6950,05-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,7180,7000,06-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,7300,7150,01-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,7300,7150,28-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6400,7300,7150,29-02-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,6700,6600,16-07-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,6700,6600,28-05-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,6700,6700,09-07-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,6800,6700,01-07-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,6800,6700,02-07-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,6800,6700,25-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,6800,6700,29-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,6900,6800,18-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6800,04-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6800,11-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6800,15-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6800,17-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6850,05-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6850,07-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6850,13-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6850,18-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6850,20-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6850,24-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6850,27-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6900,10-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6900,11-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6900,12-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6900,14-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6900,16-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7000,6900,17-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7050,6900,22-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7100,6800,03-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7100,6850,06-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7100,6850,27-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7100,6900,08-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7100,6900,11-02-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7100,6950,02-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7150,6900,08-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7200,7100,27-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7250,7200,26-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7320,7200,07-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7320,7200,09-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7400,7250,20-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7400,7250,21-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7400,7250,22-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7421,7384,21-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7421,7384,28-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7421,7384,29-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7421,7384,30-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7421,7384,31-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7450,7300,18-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6500,7500,7350,15-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6750,6650,12-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6750,6700,20-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6800,6750,26-05-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6800,6750,27-05-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6800,6800,24-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6850,6750,06-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6850,6750,08-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6850,6800,09-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6850,6800,24-05-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6850,6800,25-05-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6900,6800,04-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6900,6800,19-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6950,6900,23-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6950,6900,24-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6950,6900,25-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6950,6900,27-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6970,6900,29-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,6970,6900,30-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7020,6850,13-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7020,6850,16-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7020,6900,15-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7020,6950,19-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7020,6950,20-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7020,7020,09-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7020,7020,10-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7020,7020,14-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7020,7020,18-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7020,7020,18-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7020,7020,19-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7384,7221,09-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7400,7200,23-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7421,7384,06-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7450,7300,19-03-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7471,7396,30-12-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6600,7521,7386,07-01-2025,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6625,6750,6700,13-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6625,6850,6800,28-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6625,7020,6850,22-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6625,7020,7020,04-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6625,7020,7020,27-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6625,7020,7020,29-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6625,7020,7020,30-12-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6650,6800,6800,15-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6650,6800,6800,16-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6650,6850,6750,02-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6650,6850,6750,03-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6650,7020,7020,05-01-2024,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6700,6800,6800,27-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6700,6800,6800,28-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6700,6800,6800,30-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6700,6900,6900,14-06-2023,8.5
Adilabad,Bhainsa,Cotton,Cotton (Unginned),FAQ,6700,6900,6900,17-06-2023,8.5
