Commodity,District,Modal_Price,Date
Paddy,Warangal,88,2025-11-21
Paddy,Karimnagar,1328,2025-11-21
Paddy,Nalgonda,1859,2025-11-21
Paddy,Adilabad,1800,2025-11-21
Paddy,Khammam,1577,2025-11-21
Maize,Warangal,1315,2025-11-21
Maize,Karimnagar,1804,2025-11-21
Maize,Nalgonda,1931,2025-11-21
Maize,Adilabad,1998,2025-11-21
Maize,Khammam,1415,2025-11-21
Wheat,Warangal,1637,2025-11-21
Wheat,Karimnagar,1549,2025-11-21
Wheat,Nalgonda,1467,2025-11-21
Wheat,Adilabad,1659,2025-11-21
Wheat,Khammam,1769,2025-11-21
Cotton,Warangal,1720,2025-11-21
Cotton,Karimnagar,1315,2025-11-21
Cotton,Nalgonda,1494,2025-11-21
Cotton,Adilabad,1367,2025-11-21
Cotton,Khammam,1574,2025-11-21
Groundnut,Warangal,1812,2025-11-21
Groundnut,Karimnagar,1587,2025-11-21
Groundnut,Nalgonda,1748,2025-11-21
Groundnut,Adilabad,1400,2025-11-21
Groundnut,Khammam,1310,2025-11-21
